electorate_name | candidate_name | candidate_votes | party_name | party_votes 
Invercargill | CRAIG, Liz | 10945 | Labour Party | 9589
Invercargill | DONALDSON, Scott Ian | 1990 | ACT New Zealand | 3967
Invercargill | KOWALEWSKI, David | 1760 | New Zealand Loyal | 1099
Invercargill | O&#39;CONNELL, Kevin Patrick | 1072 | Aotearoa Legalise Cannabis Party | 235
Invercargill | SIMMONDS, Penny | 20819 | National Party | 16027
Invercargill | TERRILL, Judith | 307 |  | 
Invercargill |  |  | Animal Justice Party | 68
Invercargill |  |  | DemocracyNZ | 48
Invercargill |  |  | Freedoms NZ | 137
Invercargill |  |  | Green Party | 2332
Invercargill |  |  | Leighton Baker Party | 32
Invercargill |  |  | New Conservatives | 54
Invercargill |  |  | New Nation Party | 29
Invercargill |  |  | New Zealand First Party | 2778
Invercargill |  |  | NewZeal | 212
Invercargill |  |  | Te Pāti Māori | 278
Invercargill |  |  | The Opportunities Party (TOP) | 482
Invercargill |  |  | Women’s Rights Party | 38
Southland | EVANS, Logan | 2172 | New Zealand Loyal | 974
Southland | GRUMBALL, Anntwinette | 687 | Aotearoa Legalise Cannabis Party | 217
Southland | KENNEDY, Dave | 3860 | Green Party | 3482
Southland | McCALLUM, Simon | 6020 | Labour Party | 6546
Southland | MACLEAN, Naomi | 228 |  | 
Southland | MOONEY, Joseph | 23231 | National Party | 19222
Southland | STEPHENSON, Todd | 2807 | ACT New Zealand | 5412
Southland |  |  | Animal Justice Party | 65
Southland |  |  | DemocracyNZ | 60
Southland |  |  | Freedoms NZ | 91
Southland |  |  | Leighton Baker Party | 20
Southland |  |  | New Conservatives | 32
Southland |  |  | New Nation Party | 35
Southland |  |  | New Zealand First Party | 2258
Southland |  |  | NewZeal | 246
Southland |  |  | Te Pāti Māori | 190
Southland |  |  | The Opportunities Party (TOP) | 810
Southland |  |  | Women’s Rights Party | 28
Tukituki | DOUGLAS, Rob | 2016 | ACT New Zealand | 5117
Tukituki | HULMAN, Rob | 1030 | New Zealand Loyal | 620
Tukituki | LORCK, Anna | 11863 | Labour Party | 10518
Tukituki | MANNING, Romana (Marnz) | 631 | Aotearoa Legalise Cannabis Party | 228
Tukituki | NGAHUKA, Michael | 379 |  | 
Tukituki | PETROWSKI, Melanie Lorraine | 181 |  | 
Tukituki | PONK, Michael | 45 |  | 
Tukituki | RATCLIFFE, Nick | 2383 | Green Party | 3284
Tukituki | TOSH, Allister David | 66 |  | 
Tukituki | WEDD, Catherine | 21981 | National Party | 17165
Tukituki |  |  | Animal Justice Party | 68
Tukituki |  |  | DemocracyNZ | 71
Tukituki |  |  | Freedoms NZ | 123
Tukituki |  |  | Leighton Baker Party | 35
Tukituki |  |  | New Conservatives | 64
Tukituki |  |  | New Nation Party | 14
Tukituki |  |  | New Zealand First Party | 2550
Tukituki |  |  | NewZeal | 432
Tukituki |  |  | Te Pāti Māori | 410
Tukituki |  |  | The Opportunities Party (TOP) | 587
Tukituki |  |  | Women’s Rights Party | 39
Tāmaki | O&#39;CONNOR, Simon | 13700 | National Party | 21916
Tāmaki | PERRATT, Anne | 389 | New Zealand Loyal | 167
Tāmaki | SOLOMONE, Fesaitu | 8968 | Labour Party | 7009
Tāmaki | VAN VELDEN, Brooke | 17858 | ACT New Zealand | 5172
Tāmaki |  |  | Animal Justice Party | 51
Tāmaki |  |  | Aotearoa Legalise Cannabis Party | 88
Tāmaki |  |  | DemocracyNZ | 34
Tāmaki |  |  | Freedoms NZ | 47
Tāmaki |  |  | Green Party | 4582
Tāmaki |  |  | Leighton Baker Party | 6
Tāmaki |  |  | New Conservatives | 29
Tāmaki |  |  | New Nation Party | 6
Tāmaki |  |  | New Zealand First Party | 1198
Tāmaki |  |  | NewZeal | 82
Tāmaki |  |  | Te Pāti Māori | 288
Tāmaki |  |  | The Opportunities Party (TOP) | 980
Tāmaki |  |  | Women’s Rights Party | 28
Hamilton East | BAN, Tanya | 517 | New Zealand Loyal | 341
Hamilton East | CARRINGTON, Lily | 321 | Animal Justice Party | 69
Hamilton East | CORKIN, Alex | 1195 | The Opportunities Party (TOP) | 1040
Hamilton East | COUPER, Nathan Lee | 27 |  | 
Hamilton East | DANSEY, Georgie | 12890 | Labour Party | 9497
Hamilton East | GIELEN, Jacobus | 40 |  | 
Hamilton East | HAMILTON, Ryan | 17950 | National Party | 16373
Hamilton East | KNAAP, Russelle | 1206 | New Zealand First Party | 1914
Hamilton East | PARKER, Awatea | 1227 | Te Pāti Māori | 565
Hamilton East | PARMAR, Himanshu | 1679 | ACT New Zealand | 3085
Hamilton East |  |  | Aotearoa Legalise Cannabis Party | 110
Hamilton East |  |  | DemocracyNZ | 39
Hamilton East |  |  | Freedoms NZ | 80
Hamilton East |  |  | Green Party | 4718
Hamilton East |  |  | Leighton Baker Party | 25
Hamilton East |  |  | New Conservatives | 91
Hamilton East |  |  | New Nation Party | 19
Hamilton East |  |  | NewZeal | 204
Hamilton East |  |  | Women’s Rights Party | 40
Taupō | AL-BUSTANJI, Aladdin | 8353 | Labour Party | 9686
Taupō | COZENS, Zane | 2808 | ACT New Zealand | 4960
Taupō | O&#39;CONNOR PATENA, George | 3441 | Green Party | 2773
Taupō | PEHI, Tira | 2114 | New Zealand First Party | 3508
Taupō | UPSTON, Louise | 24858 | National Party | 19966
Taupō | WILSON, Gordon | 1410 | New Zealand Loyal | 961
Taupō |  |  | Animal Justice Party | 50
Taupō |  |  | Aotearoa Legalise Cannabis Party | 178
Taupō |  |  | DemocracyNZ | 75
Taupō |  |  | Freedoms NZ | 134
Taupō |  |  | Leighton Baker Party | 36
Taupō |  |  | New Conservatives | 66
Taupō |  |  | New Nation Party | 20
Taupō |  |  | NewZeal | 208
Taupō |  |  | Te Pāti Māori | 567
Taupō |  |  | The Opportunities Party (TOP) | 644
Taupō |  |  | Women’s Rights Party | 26
East Coast | CARACAS, Monaco | 68 |  | 
East Coast | COFFEY, Tamati | 13597 | Labour Party | 11905
East Coast | DICKSON, Gordon John | 63 |  | 
East Coast | FLAVELL, Fallyn | 1226 | Te Pāti Māori | 909
East Coast | HOWE, Michael | 1892 | ACT New Zealand | 3540
East Coast | KIRKPATRICK, Dana | 16714 | National Party | 14649
East Coast | PACKER, Leighton | 315 |  | 
East Coast | RICHARDS, Don | 103 |  | 
East Coast | ROBINSON, Chris | 615 | DemocracyNZ | 196
East Coast | SINCLAIR, Craig | 2482 | New Zealand First Party | 3842
East Coast | WALKER, Jordan | 1751 | Green Party | 2961
East Coast |  |  | Animal Justice Party | 43
East Coast |  |  | Aotearoa Legalise Cannabis Party | 162
East Coast |  |  | Freedoms NZ | 172
East Coast |  |  | Leighton Baker Party | 28
East Coast |  |  | New Conservatives | 55
East Coast |  |  | New Nation Party | 20
East Coast |  |  | New Zealand Loyal | 538
East Coast |  |  | NewZeal | 240
East Coast |  |  | The Opportunities Party (TOP) | 454
East Coast |  |  | Women’s Rights Party | 23
Mt Albert | LEE, Melissa | 13218 | National Party | 12705
Mt Albert | MENENDEZ MARCH, Ricardo | 9302 | Green Party | 10030
Mt Albert | MURPHY, Ollie | 1483 | ACT New Zealand | 2681
Mt Albert | NAUFAHU, Tesi | 155 |  | 
Mt Albert | SWORDS, Ciara | 1319 | The Opportunities Party (TOP) | 1474
Mt Albert | VAN DEN HEUVEL, Anthony Joseph J | 103 |  | 
Mt Albert | WHITE, Helen | 13238 | Labour Party | 10336
Mt Albert |  |  | Animal Justice Party | 51
Mt Albert |  |  | Aotearoa Legalise Cannabis Party | 115
Mt Albert |  |  | DemocracyNZ | 21
Mt Albert |  |  | Freedoms NZ | 60
Mt Albert |  |  | Leighton Baker Party | 6
Mt Albert |  |  | New Conservatives | 30
Mt Albert |  |  | New Nation Party | 9
Mt Albert |  |  | New Zealand First Party | 1220
Mt Albert |  |  | New Zealand Loyal | 146
Mt Albert |  |  | NewZeal | 83
Mt Albert |  |  | Te Pāti Māori | 640
Mt Albert |  |  | Women’s Rights Party | 39
Remutaka | CHATTERTON, Emma | 13485 | National Party | 12726
Remutaka | HIPKINS, Chris | 22344 | Labour Party | 16000
Remutaka | HURLE, Michael | 1261 | ACT New Zealand | 2476
Remutaka | NORTON, Chris | 2794 | Green Party | 5068
Remutaka | PITIROI, Tony | 899 | NewZeal | 500
Remutaka | ROBERTSON, Heker | 409 |  | 
Remutaka |  |  | Animal Justice Party | 96
Remutaka |  |  | Aotearoa Legalise Cannabis Party | 177
Remutaka |  |  | DemocracyNZ | 55
Remutaka |  |  | Freedoms NZ | 147
Remutaka |  |  | Leighton Baker Party | 13
Remutaka |  |  | New Conservatives | 71
Remutaka |  |  | New Nation Party | 12
Remutaka |  |  | New Zealand First Party | 2441
Remutaka |  |  | New Zealand Loyal | 261
Remutaka |  |  | Te Pāti Māori | 511
Remutaka |  |  | The Opportunities Party (TOP) | 1147
Remutaka |  |  | Women’s Rights Party | 35
Takanini | AH CHEE, Rae | 2037 | ACT New Zealand | 2202
Takanini | LEAVASA, Anae Neru | 13161 | Labour Party | 11181
Takanini | NAKHLE, Rima | 21936 | National Party | 21056
Takanini | TULLOCH, Lynley Kim | 736 | Animal Justice Party | 82
Takanini |  |  | Aotearoa Legalise Cannabis Party | 108
Takanini |  |  | DemocracyNZ | 32
Takanini |  |  | Freedoms NZ | 208
Takanini |  |  | Green Party | 2277
Takanini |  |  | Leighton Baker Party | 16
Takanini |  |  | New Conservatives | 68
Takanini |  |  | New Nation Party | 14
Takanini |  |  | New Zealand First Party | 1267
Takanini |  |  | New Zealand Loyal | 135
Takanini |  |  | NewZeal | 299
Takanini |  |  | Te Pāti Māori | 440
Takanini |  |  | The Opportunities Party (TOP) | 333
Takanini |  |  | Women’s Rights Party | 25
Ilam | BRITNELL, Irinka | 488 | Aotearoa Legalise Cannabis Party | 179
Ilam | CAMPBELL, Hamish | 18693 | National Party | 18452
Ilam | DAVIDSON, Mike | 2391 | Green Party | 6401
Ilam | MANJI, Raf | 10863 | The Opportunities Party (TOP) | 2138
Ilam | O&#39;BRIEN, Chris | 300 | New Conservatives | 96
Ilam | O&#39;CONNELL, Juanita | 329 | DemocracyNZ | 101
Ilam | PALLETT, Sarah | 9010 | Labour Party | 9395
Ilam |  |  | ACT New Zealand | 3557
Ilam |  |  | Animal Justice Party | 50
Ilam |  |  | Freedoms NZ | 55
Ilam |  |  | Leighton Baker Party | 44
Ilam |  |  | New Nation Party | 23
Ilam |  |  | New Zealand First Party | 1729
Ilam |  |  | New Zealand Loyal | 150
Ilam |  |  | NewZeal | 85
Ilam |  |  | Te Pāti Māori | 265
Ilam |  |  | Women’s Rights Party | 47
Tāmaki Makaurau | HENARE, Peeni | 10046 | Labour Party | 11574
Tāmaki Makaurau | KEMP, Takutai Tarsh | 10050 | Te Pāti Māori | 8048
Tāmaki Makaurau | TAMAKI, Hannah | 829 |  | 
Tāmaki Makaurau | TANA, Darleen | 2911 | Green Party | 3230
Tāmaki Makaurau | TE HAU, Hinurewa | 1274 | National Party | 1269
Tāmaki Makaurau |  |  | ACT New Zealand | 254
Tāmaki Makaurau |  |  | Animal Justice Party | 27
Tāmaki Makaurau |  |  | Aotearoa Legalise Cannabis Party | 248
Tāmaki Makaurau |  |  | DemocracyNZ | 28
Tāmaki Makaurau |  |  | Freedoms NZ | 478
Tāmaki Makaurau |  |  | Leighton Baker Party | 7
Tāmaki Makaurau |  |  | New Conservatives | 13
Tāmaki Makaurau |  |  | New Nation Party | 2
Tāmaki Makaurau |  |  | New Zealand First Party | 927
Tāmaki Makaurau |  |  | New Zealand Loyal | 174
Tāmaki Makaurau |  |  | NewZeal | 121
Tāmaki Makaurau |  |  | The Opportunities Party (TOP) | 248
Tāmaki Makaurau |  |  | Women’s Rights Party | 25
Wairarapa | ARNOTT, Pete | 1737 | New Zealand Loyal | 1027
Wairarapa | BUTTERICK, Mike | 20313 | National Party | 17397
Wairarapa | CASEY, Simon Francis | 1907 | ACT New Zealand | 4752
Wairarapa | GARDNER, Jared Warren | 247 |  | 
Wairarapa | McANULTY, Kieran | 17497 | Labour Party | 12223
Wairarapa | WADE-BROWN, Celia | 1832 | Green Party | 3676
Wairarapa | WAIKARE, Te Whakapono | 517 | Te Pāti Māori | 455
Wairarapa |  |  | Animal Justice Party | 81
Wairarapa |  |  | Aotearoa Legalise Cannabis Party | 207
Wairarapa |  |  | DemocracyNZ | 72
Wairarapa |  |  | Freedoms NZ | 93
Wairarapa |  |  | Leighton Baker Party | 35
Wairarapa |  |  | New Conservatives | 58
Wairarapa |  |  | New Nation Party | 32
Wairarapa |  |  | New Zealand First Party | 3655
Wairarapa |  |  | NewZeal | 156
Wairarapa |  |  | The Opportunities Party (TOP) | 708
Wairarapa |  |  | Women’s Rights Party | 47
Auckland Central | COKER, Christopher | 365 | Aotearoa Legalise Cannabis Party | 142
Auckland Central | DAVIE, Paul | 91 |  | 
Auckland Central | KANE, Madeleine | 135 | Animal Justice Party | 50
Auckland Central | LIU, Andi Shen | 110 |  | 
Auckland Central | MURALIDHAR, Mahesh | 12728 | National Party | 11751
Auckland Central | POOLE, Felix | 1251 | ACT New Zealand | 3301
Auckland Central | SIMS, Oscar | 2592 | Labour Party | 8028
Auckland Central | SLOCUM, Guy Dennis | 89 | New Nation Party | 26
Auckland Central | SWARBRICK, Chlöe | 16624 | Green Party | 8503
Auckland Central | SYCAMORE, Damian | 462 | The Opportunities Party (TOP) | 1250
Auckland Central |  |  | DemocracyNZ | 32
Auckland Central |  |  | Freedoms NZ | 48
Auckland Central |  |  | Leighton Baker Party | 3
Auckland Central |  |  | New Conservatives | 30
Auckland Central |  |  | New Zealand First Party | 1351
Auckland Central |  |  | New Zealand Loyal | 217
Auckland Central |  |  | NewZeal | 38
Auckland Central |  |  | Te Pāti Māori | 563
Auckland Central |  |  | Women’s Rights Party | 45
Ōhāriu | DAY, Paul | 759 | ACT New Zealand | 2524
Ōhāriu | HAMMOND, Jessica | 2975 | The Opportunities Party (TOP) | 1882
Ōhāriu | JENKINS, Martin | 124 |  | 
Ōhāriu | LIM, Patrick | 214 |  | 
Ōhāriu | O&#39;CONNOR, Greg | 17565 | Labour Party | 12457
Ōhāriu | RODGERS, Stephanie | 4412 | Green Party | 8623
Ōhāriu | WILLIS, Nicola | 16305 | National Party | 14841
Ōhāriu |  |  | Animal Justice Party | 62
Ōhāriu |  |  | Aotearoa Legalise Cannabis Party | 114
Ōhāriu |  |  | DemocracyNZ | 25
Ōhāriu |  |  | Freedoms NZ | 58
Ōhāriu |  |  | Leighton Baker Party | 12
Ōhāriu |  |  | New Conservatives | 65
Ōhāriu |  |  | New Nation Party | 11
Ōhāriu |  |  | New Zealand First Party | 1442
Ōhāriu |  |  | New Zealand Loyal | 112
Ōhāriu |  |  | NewZeal | 119
Ōhāriu |  |  | Te Pāti Māori | 519
Ōhāriu |  |  | Women’s Rights Party | 31
Whangaparāoa | ANGELO, Simon | 2522 | ACT New Zealand | 5627
Whangaparāoa | LAYBOURN, Craig | 652 | DemocracyNZ | 157
Whangaparāoa | MITCHELL, Mark | 30742 | National Party | 25091
Whangaparāoa | MULLER PALLARÈS, Estefania | 7366 | Labour Party | 7202
Whangaparāoa | NEWMAN, Lorraine | 3487 | Green Party | 3584
Whangaparāoa | WILSON, Jeanette | 1489 | New Zealand Loyal | 630
Whangaparāoa |  |  | Animal Justice Party | 91
Whangaparāoa |  |  | Aotearoa Legalise Cannabis Party | 131
Whangaparāoa |  |  | Freedoms NZ | 92
Whangaparāoa |  |  | Leighton Baker Party | 29
Whangaparāoa |  |  | New Conservatives | 65
Whangaparāoa |  |  | New Nation Party | 16
Whangaparāoa |  |  | New Zealand First Party | 2952
Whangaparāoa |  |  | NewZeal | 460
Whangaparāoa |  |  | Te Pāti Māori | 222
Whangaparāoa |  |  | The Opportunities Party (TOP) | 770
Whangaparāoa |  |  | Women’s Rights Party | 36
Kelston | CURRAN, Jacob | 1774 | ACT New Zealand | 1990
Kelston | DEGIA-PALA, Anne | 1142 | New Zealand First Party | 1580
Kelston | GHAHRAMAN, Golriz | 3777 | Green Party | 4709
Kelston | HAREMA, Jacqui | 679 | Te Pāti Māori | 591
Kelston | HOOD, Alister | 219 | New Conservatives | 70
Kelston | SCHAUMKEL, Ruby | 10017 | National Party | 10442
Kelston | SEPULONI, Carmel | 14413 | Labour Party | 12460
Kelston | TILDSLEY, Leao | 416 | DemocracyNZ | 97
Kelston |  |  | Animal Justice Party | 56
Kelston |  |  | Aotearoa Legalise Cannabis Party | 125
Kelston |  |  | Freedoms NZ | 93
Kelston |  |  | Leighton Baker Party | 12
Kelston |  |  | New Nation Party | 12
Kelston |  |  | New Zealand Loyal | 238
Kelston |  |  | NewZeal | 267
Kelston |  |  | The Opportunities Party (TOP) | 650
